Title,Year,Genres,Rating,Votes,Type
Head-On,2004,"Drama,Romance",7.8,60580,movie
Howl's Moving Castle,2004,"Adventure,Animation,Family",8.2,507348,movie
Kal Ho Naa Ho,2003,"Comedy,Drama,Musical",7.9,81290,movie
The Cat Returns,2002,"Adventure,Animation,Comedy",7.1,71754,movie
Superman Returns,2006,"Action,Adventure,Sci-Fi",6.1,302325,movie
Waiting...,2005,Comedy,6.7,112259,movie
Gothika,2003,"Horror,Mystery,Thriller",5.8,124205,movie
Deadwood,2004,"Crime,Drama,History",8.6,127765,tvSeries
Cheaper by the Dozen,2003,"Comedy,Family",5.9,115954,movie
King Arthur,2004,"Action,Adventure,Drama",6.3,182357,movie
Ladder 49,2004,"Action,Drama,Thriller",6.5,60991,movie
Miracle,2004,"Biography,Drama,History",7.5,64179,movie
Ocean's Twelve,2004,"Crime,Thriller",6.5,436643,movie
Ray,2004,"Biography,Drama,Music",7.7,164757,movie
Madagascar,2005,"Adventure,Animation,Comedy",6.9,475762,movie
Walking Tall,2004,"Action,Crime",6.2,112871,movie
Cinderella Man,2005,"Biography,Drama,Romance",8.0,208341,movie
Chappelle's Show,2003,"Comedy,Music",8.8,78472,tvSeries
Memories of Murder,2003,"Crime,Drama,Mystery",8.1,262490,movie
The Science of Sleep,2006,"Comedy,Drama,Fantasy",7.2,72101,movie
The Brothers Grimm,2005,"Action,Adventure,Comedy",5.9,131598,movie
Lords of Dogtown,2005,"Biography,Drama,Sport",7.1,60683,movie
EuroTrip,2004,Comedy,6.6,242462,movie
A Cinderella Story,2004,"Comedy,Family,Romance",6.0,101193,movie
The Forgotten,2004,"Drama,Mystery,Sci-Fi",5.8,70947,movie
Garfield: The Movie,2004,"Adventure,Comedy,Family",5.1,100277,movie
The Family Stone,2005,"Comedy,Drama,Romance",6.3,89583,movie
I Heart Huckabees,2004,Comedy,6.5,67521,movie
Mr. & Mrs. Smith,2005,"Action,Comedy,Crime",6.5,589316,movie
Elektra,2005,"Action,Adventure,Crime",4.7,104633,movie
Anchorman: The Legend of Ron Burgundy,2004,Comedy,7.1,399531,movie
Robots,2005,"Adventure,Animation,Comedy",6.4,173857,movie
Shall We Dance?,2004,"Comedy,Drama,Music",6.2,52264,movie
Walk the Line,2005,"Biography,Drama,Music",7.8,279504,movie
Blade: Trinity,2004,"Action,Horror,Sci-Fi",5.8,200336,movie
The Secret Life of Walter Mitty,2013,"Adventure,Comedy,Drama",7.3,368720,movie
Wimbledon,2004,"Comedy,Romance,Sport",6.4,68993,movie
Constantine,2005,"Action,Fantasy,Horror",7.0,405168,movie
King Kong,2005,"Action,Adventure,Romance",7.2,468661,movie
Nip/Tuck,2003,Drama,7.7,61735,tvSeries
