Title,Year,Genres,Rating,Votes,Type
The Cabinet of Dr. Caligari,1920,"Horror,Mystery,Thriller",8.0,75807,movie
The Kid,1921,"Comedy,Drama,Family",8.2,144964,movie
Nosferatu: A Symphony of Horror,1922,"Fantasy,Horror",7.8,122771,movie
Sherlock Jr.,1924,"Action,Comedy,Romance",8.1,65179,movie
Battleship Potemkin,1925,"Drama,History,Thriller",7.9,64840,movie
The Gold Rush,1925,"Adventure,Comedy,Drama",8.1,127611,movie
Metropolis,1927,"Drama,Sci-Fi",8.2,200151,movie
The General,1926,"Action,Adventure,Comedy",8.1,105713,movie
Sunrise,1927,"Drama,Romance",8.1,56471,movie
The Passion of Joan of Arc,1928,"Biography,Drama,History",8.1,67728,movie
All Quiet on the Western Front,1930,"Drama,War",8.1,71690,movie
City Lights,1931,"Comedy,Drama,Romance",8.5,215549,movie
Dracula,1931,"Drama,Fantasy,Horror",7.3,64472,movie
Frankenstein,1931,"Drama,Horror,Sci-Fi",7.7,87430,movie
M,1931,"Crime,Mystery,Thriller",8.3,182006,movie
Freaks,1932,"Drama,Horror",7.8,54453,movie
Duck Soup,1933,"Comedy,Musical",7.7,65214,movie
King Kong,1933,"Adventure,Horror",7.9,95507,movie
It Happened One Night,1934,"Comedy,Romance",8.1,119243,movie
The 39 Steps,1935,"Crime,Mystery,Thriller",7.6,65788,movie
Bride of Frankenstein,1935,"Drama,Horror,Sci-Fi",7.8,58520,movie
Modern Times,1936,"Comedy,Drama,Romance",8.5,284080,movie
Snow White and the Seven Dwarfs,1937,"Adventure,Animation,Family",7.6,237618,movie
The Adventures of Robin Hood,1938,"Action,Adventure,Romance",7.9,57536,movie
Bringing Up Baby,1938,Comedy,7.8,70142,movie
The Lady Vanishes,1938,"Crime,Drama,Mystery",7.7,61071,movie
Gone with the Wind,1939,"Drama,Romance,War",8.2,354951,movie
Mr. Smith Goes to Washington,1939,"Comedy,Drama",8.1,128963,movie
Stagecoach,1939,"Adventure,Drama,Western",7.8,58444,movie
The Wizard of Oz,1939,"Adventure,Family,Fantasy",8.1,465186,movie
Fantasia,1940,"Animation,Family,Fantasy",7.7,110691,movie
The Grapes of Wrath,1940,Drama,8.1,107963,movie
The Great Dictator,1940,"Comedy,Drama,War",8.4,258378,movie
His Girl Friday,1940,"Comedy,Drama,Romance",7.8,67622,movie
The Philadelphia Story,1940,"Comedy,Romance",7.8,78178,movie
Pinocchio,1940,"Adventure,Animation,Comedy",7.5,171594,movie
Rebecca,1940,"Drama,Mystery,Romance",8.1,161965,movie
Citizen Kane,1941,"Drama,Mystery",8.2,491916,movie
Dumbo,1941,"Adventure,Animation,Drama",7.2,150790,movie
The Maltese Falcon,1941,"Crime,Drama,Film-Noir",7.9,173699,movie
Bambi,1942,"Adventure,Animation,Drama",7.3,164316,movie
Casablanca,1942,"Drama,Romance,War",8.5,652522,movie
Kate & Leopold,2001,"Comedy,Fantasy,Romance",6.4,93592,movie
Shadow of a Doubt,1943,"Drama,Film-Noir,Mystery",7.8,75029,movie
Arsenic and Old Lace,1944,"Comedy,Crime,Thriller",7.9,78508,movie
Double Indemnity,1944,"Crime,Drama,Film-Noir",8.3,180339,movie
The Best Years of Our Lives,1946,"Drama,Romance,War",8.1,77071,movie
Laura,1944,"Drama,Film-Noir,Mystery",7.9,55579,movie
Spellbound,1945,"Drama,Film-Noir,Mystery",7.5,56250,movie
The Big Sleep,1946,"Crime,Drama,Film-Noir",7.9,95132,movie
It's a Wonderful Life,1946,"Drama,Family,Fantasy",8.6,552219,movie
Notorious,1946,"Drama,Film-Noir,Mystery",7.9,113395,movie
Miracle on 34th Street,1947,"Comedy,Drama,Family",7.9,60899,movie
Bicycle Thieves,1948,Drama,8.2,191743,movie
Rope,1948,"Crime,Drama,Mystery",7.9,164297,movie
The Treasure of the Sierra Madre,1948,"Adventure,Drama,Western",8.2,140817,movie
The Third Man,1949,"Drama,Film-Noir,Mystery",8.1,194494,movie
All About Eve,1950,Drama,8.2,148495,movie
Cinderella,1950,"Animation,Family,Fantasy",7.3,186052,movie
Harvey,1950,"Comedy,Drama,Fantasy",7.9,60798,movie
Rashomon,1950,"Crime,Drama,Mystery",8.1,195453,movie
Sunset Boulevard,1950,"Drama,Film-Noir",8.4,259751,movie
The African Queen,1951,"Adventure,Drama,Romance",7.7,88533,movie
Alice in Wonderland,1951,"Adventure,Animation,Comedy",7.3,165576,movie
The Day the Earth Stood Still,1951,"Drama,Sci-Fi",7.7,89591,movie
Strangers on a Train,1951,"Crime,Drama,Film-Noir",7.9,148584,movie
A Streetcar Named Desire,1951,Drama,7.9,119561,movie
High Noon,1952,"Drama,Thriller,Western",7.9,115964,movie
Ikiru,1952,Drama,8.3,101475,movie
Singin' in the Rain,1952,"Comedy,Musical,Romance",8.3,281019,movie
From Here to Eternity,1953,"Drama,Romance,War",7.6,53968,movie
Peter Pan,1953,"Adventure,Animation,Family",7.3,164532,movie
Roman Holiday,1953,"Comedy,Drama,Romance",8.0,157791,movie
The Wages of Fear,1953,"Adventure,Drama,Thriller",8.1,73086,movie
Stalag 17,1953,"Comedy,Drama,War",7.9,61309,movie
Tokyo Story,1953,Drama,8.1,77117,movie
Diabolique,1955,"Crime,Drama,Horror",8.1,73095,movie
Dial M for Murder,1954,"Crime,Drama,Mystery",8.1,203733,movie
On the Waterfront,1954,"Crime,Drama,Thriller",8.1,176990,movie
Rear Window,1954,"Drama,Mystery,Thriller",8.5,566456,movie
Sabrina,1954,"Comedy,Drama,Romance",7.6,75446,movie
Seven Samurai,1954,"Action,Drama",8.6,399866,movie
La Strada,1954,Drama,8.0,69702,movie
White Christmas,1954,"Comedy,Musical,Romance",7.5,58089,movie
East of Eden,1955,Drama,7.8,51572,movie
Lady and the Tramp,1955,"Adventure,Animation,Comedy",7.3,160732,movie
The Night of the Hunter,1955,"Crime,Drama,Thriller",8.0,106946,movie
Rebel Without a Cause,1955,Drama,7.6,102857,movie
To Catch a Thief,1955,"Drama,Mystery,Romance",7.4,86207,movie
Forbidden Planet,1956,"Adventure,Sci-Fi",7.5,56864,movie
Invasion of the Body Snatchers,1956,"Drama,Horror,Sci-Fi",7.7,59374,movie
The Killing,1956,"Crime,Drama,Film-Noir",7.9,105135,movie
The Man Who Knew Too Much,1956,"Crime,Drama,Mystery",7.4,75722,movie
The Searchers,1956,"Adventure,Western",7.8,103193,movie
The Ten Commandments,1956,"Adventure,Drama,Family",7.9,83512,movie
12 Angry Men,1957,"Crime,Drama",9.0,976110,movie
The Bridge on the River Kwai,1957,"Adventure,Drama,War",8.1,247698,movie
Throne of Blood,1957,Drama,8.0,59822,movie
Nights of Cabiria,1957,Drama,8.1,56853,movie
Paths of Glory,1957,"Drama,War",8.4,237551,movie
The Seventh Seal,1957,"Drama,Fantasy",8.1,214983,movie
Wild Strawberries,1957,"Drama,Romance",8.1,123939,movie
Witness for the Prosecution,1957,"Crime,Drama,Mystery",8.4,160445,movie
Cat on a Hot Tin Roof,1958,Drama,7.9,56717,movie
Touch of Evil,1958,"Crime,Drama,Film-Noir",7.9,114503,movie
Vertigo,1958,"Mystery,Romance,Thriller",8.2,457311,movie
The Twilight Zone,1959,"Drama,Fantasy,Horror",9.0,107803,tvSeries
Anatomy of a Murder,1959,"Drama,Mystery",8.0,77355,movie
Ben-Hur,1959,"Adventure,Drama",8.1,270141,movie
North by Northwest,1959,"Adventure,Drama,Mystery",8.3,368354,movie
The 400 Blows,1959,"Crime,Drama",8.0,133947,movie
Rio Bravo,1959,Western,8.0,73159,movie
Sleeping Beauty,1959,"Adventure,Animation,Family",7.2,171343,movie
Some Like It Hot,1959,"Comedy,Music,Romance",8.2,303431,movie
Breathless,1960,"Crime,Drama",7.6,94637,movie
The Apartment,1960,"Comedy,Drama,Romance",8.3,217872,movie
La Dolce Vita,1960,"Comedy,Drama",8.0,85454,movie
The Magnificent Seven,1960,"Action,Adventure,Drama",7.7,110080,movie
Psycho,1960,"Drama,Horror,Mystery",8.5,781129,movie
Spartacus,1960,"Adventure,Biography,Drama",7.9,151361,movie
Breakfast at Tiffany's,1961,"Comedy,Drama,Romance",7.5,203537,movie
The Guns of Navarone,1961,"Action,Adventure,Drama",7.5,59373,movie
The Hustler,1961,"Drama,Sport",7.9,90799,movie
Judgment at Nuremberg,1961,"Drama,History,War",8.3,96328,movie
One Hundred and One Dalmatians,1961,"Adventure,Animation,Comedy",7.3,195428,movie
West Side Story,1961,"Crime,Drama,Musical",7.6,127206,movie
Yojimbo,1961,"Action,Drama,Thriller",8.2,142285,movie
Dr. No,1962,"Action,Adventure,Thriller",7.2,194056,movie
Harakiri,1962,"Drama,Mystery",8.6,89770,movie
Lawrence of Arabia,1962,"Adventure,Biography,Drama",8.3,339897,movie
Lolita,1962,"Crime,Drama,Romance",7.5,115460,movie
The Longest Day,1962,"Action,Drama,History",7.7,62497,movie
The Man Who Shot Liberty Valance,1962,"Drama,Western",8.1,88171,movie
The Manchurian Candidate,1962,"Drama,Thriller",7.9,84374,movie
To Kill a Mockingbird,1962,"Crime,Drama",8.2,350396,movie
What Ever Happened to Baby Jane?,1962,"Drama,Horror,Thriller",8.0,67243,movie
8½,1963,Drama,8.0,132236,movie
The Birds,1963,"Drama,Horror,Mystery",7.6,219024,movie
Charade,1963,"Comedy,Mystery,Romance",7.8,92810,movie
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Comedy,War",8.3,549338,movie
From Russia with Love,1963,"Action,Adventure,Thriller",7.3,157461,movie
The Great Escape,1963,"Adventure,Drama,Thriller",8.2,276174,movie
It's a Mad Mad Mad Mad World,1963,"Action,Adventure,Comedy",7.5,50575,movie
The Pink Panther,1963,"Comedy,Crime,Romance",7.0,61348,movie
The Sword in the Stone,1963,"Adventure,Animation,Comedy",7.1,113715,movie
High and Low,1963,"Crime,Drama,Mystery",8.4,70559,movie
Goldfinger,1964,"Action,Adventure,Thriller",7.7,216211,movie
A Hard Day's Night,1964,"Comedy,Musical",7.5,50870,movie
Marnie,1964,"Crime,Drama,Mystery",7.1,57426,movie
Mary Poppins,1964,"Comedy,Family,Fantasy",7.8,197797,movie
My Fair Lady,1964,"Drama,Family,Musical",7.7,107276,movie
A Fistful of Dollars,1964,"Drama,Western",7.9,252165,movie
The Battle of Algiers,1966,"Drama,War",8.1,75018,movie
Doctor Zhivago,1965,"Drama,Romance,War",7.9,86747,movie
For a Few Dollars More,1965,"Drama,Western",8.2,298585,movie
Repulsion,1965,"Drama,Horror,Thriller",7.5,61067,movie
The Sound of Music,1965,"Biography,Drama,Family",8.1,289529,movie
Thunderball,1965,"Action,Adventure,Thriller",6.9,136714,movie
Star Trek,1966,"Action,Adventure,Sci-Fi",8.4,100155,tvSeries
Andrei Rublev,1966,"Biography,Drama,History",8.0,60253,movie
Blow-Up,1966,"Drama,Mystery,Thriller",7.4,72244,movie
"The Good, the Bad and the Ugly",1966,"Adventure,Drama,Western",8.8,886417,movie
Persona,1966,"Drama,Thriller",8.0,139806,movie
Who's Afraid of Virginia Woolf?,1966,Drama,8.0,83897,movie
Belle de Jour,1967,"Drama,Romance",7.6,53090,movie
Bonnie and Clyde,1967,"Action,Biography,Crime",7.7,127602,movie
Cool Hand Luke,1967,"Crime,Drama",8.0,196943,movie
The Dirty Dozen,1967,"Action,Adventure,War",7.7,83719,movie
The Graduate,1967,"Comedy,Drama,Romance",8.0,302011,movie
Guess Who's Coming to Dinner,1967,"Comedy,Drama",7.8,52523,movie
In the Heat of the Night,1967,"Drama,Mystery,Thriller",7.9,90513,movie
The Jungle Book,1967,"Adventure,Animation,Comedy",7.6,212055,movie
Le Samouraï,1967,"Crime,Drama,Thriller",8.0,65277,movie
You Only Live Twice,1967,"Action,Adventure,Thriller",6.8,126359,movie
2001: A Space Odyssey,1968,"Adventure,Sci-Fi",8.3,778078,movie
Bullitt,1968,"Action,Crime,Thriller",7.4,81439,movie
Chitty Chitty Bang Bang,1968,"Adventure,Family,Fantasy",7.0,54715,movie
Night of the Living Dead,1968,"Horror,Thriller",7.8,150136,movie
Planet of the Apes,1968,"Adventure,Sci-Fi",8.0,209801,movie
The Producers,1967,"Comedy,Music",7.5,64584,movie
Rosemary's Baby,1968,"Drama,Horror",8.0,256449,movie
Monty Python's Flying Circus,1969,Comedy,8.8,87006,tvSeries
Butch Cassidy and the Sundance Kid,1969,"Adventure,Biography,Crime",8.0,238507,movie
Once Upon a Time in the West,1968,"Drama,Western",8.5,382327,movie
Easy Rider,1969,"Adventure,Drama",7.2,123056,movie
The Italian Job,1969,"Action,Comedy,Crime",7.2,54013,movie
Midnight Cowboy,1969,Drama,7.8,130868,movie
On Her Majesty's Secret Service,1969,"Action,Adventure,Thriller",6.7,107687,movie
True Grit,1969,"Adventure,Drama,Western",7.4,54824,movie
Where Eagles Dare,1968,"Action,Adventure,War",7.6,67484,movie
The Wild Bunch,1969,"Action,Adventure,Drama",7.9,94992,movie
The Aristocats,1970,"Adventure,Animation,Comedy",7.1,124185,movie
Beneath the Planet of the Apes,1970,"Action,Adventure,Sci-Fi",6.0,57398,movie
Kelly's Heroes,1970,"Adventure,Comedy,War",7.6,58137,movie
M*A*S*H,1970,"Comedy,Drama,War",7.3,82301,movie
Patton,1970,"Biography,Drama,War",7.9,113983,movie
THX 1138,1971,"Drama,Sci-Fi,Thriller",6.6,57318,movie
A Clockwork Orange,1971,"Crime,Sci-Fi",8.2,932720,movie
Diamonds Are Forever,1971,"Action,Adventure,Thriller",6.5,122257,movie
Dirty Harry,1971,"Action,Crime,Thriller",7.7,179946,movie
Fiddler on the Roof,1971,"Drama,Family,Musical",8.0,51871,movie
The French Connection,1971,"Action,Crime,Drama",7.7,149627,movie
Harold and Maude,1971,"Comedy,Drama,Romance",7.8,85859,movie
The Last Picture Show,1971,"Drama,Romance",8.0,56587,movie
Straw Dogs,1971,"Crime,Drama,Thriller",7.4,67983,movie
Willy Wonka & the Chocolate Factory,1971,"Adventure,Comedy,Family",7.8,243815,movie
M*A*S*H,1972,"Comedy,Drama,War",8.5,68830,tvSeries
"Aguirre, the Wrath of God",1972,"Action,Adventure,Biography",7.8,67422,movie
Cabaret,1972,"Drama,Music,Musical",7.8,64118,movie
The Discreet Charm of the Bourgeoisie,1972,"Comedy,Drama,Fantasy",7.7,50295,movie
Deliverance,1972,"Adventure,Drama,Thriller",7.6,128188,movie
Frenzy,1972,"Drama,Thriller",7.4,53120,movie
The Godfather,1972,"Crime,Drama",9.2,2209920,movie
High Plains Drifter,1973,"Drama,Western",7.4,72548,movie
The Poseidon Adventure,1972,"Action,Adventure,Drama",7.1,53558,movie
Sleuth,1972,"Mystery,Thriller",7.9,52568,movie
Solaris,1972,"Adventure,Drama,Mystery",7.9,104620,movie
American Graffiti,1973,"Comedy,Drama",7.4,104930,movie
Badlands,1973,"Action,Crime,Drama",7.7,83840,movie
The Day of the Jackal,1973,"Crime,Drama,Thriller",7.8,52495,movie
Don't Look Now,1973,"Drama,Horror,Mystery",7.1,68161,movie
Enter the Dragon,1973,"Action,Crime,Thriller",7.6,119646,movie
The Exorcist,1973,Horror,8.1,495755,movie
Live and Let Die,1973,"Action,Adventure,Thriller",6.7,123674,movie
Magnum Force,1973,"Action,Crime,Mystery",7.2,71407,movie
Mean Streets,1973,"Crime,Drama,Thriller",7.2,127501,movie
Paper Moon,1973,"Comedy,Crime,Drama",8.1,57075,movie
Papillon,1973,"Biography,Crime,Drama",8.0,145388,movie
Robin Hood,1973,"Adventure,Animation,Comedy",7.5,149146,movie
Serpico,1973,"Biography,Crime,Drama",7.7,145690,movie
Soylent Green,1973,"Crime,Mystery,Sci-Fi",7.0,74899,movie
The Sting,1973,"Comedy,Crime,Drama",8.2,298879,movie
Last Tango in Paris,1972,"Drama,Romance",6.8,62309,movie
Westworld,1973,"Action,Drama,Sci-Fi",6.9,66828,movie
The Wicker Man,1973,"Horror,Mystery,Thriller",7.5,104778,movie
Amarcord,1973,"Comedy,Drama",7.8,51216,movie
Black Christmas,1974,"Horror,Mystery,Thriller",7.1,55959,movie
Blazing Saddles,1974,"Comedy,Western",7.7,163775,movie
Chinatown,1974,"Drama,Mystery,Thriller",8.1,375176,movie
The Conversation,1974,"Drama,Mystery,Thriller",7.7,135991,movie
The Godfather Part II,1974,"Crime,Drama",9.0,1484976,movie
The Holy Mountain,1973,"Adventure,Drama,Fantasy",7.7,52065,movie
The Man with the Golden Gun,1974,"Action,Adventure,Thriller",6.7,120817,movie
Monty Python and the Holy Grail,1975,"Adventure,Comedy,Fantasy",8.2,601001,movie
Murder on the Orient Express,1974,"Crime,Drama,Mystery",7.2,74184,movie
The Texas Chain Saw Massacre,1974,Horror,7.4,210277,movie
The Towering Inferno,1974,"Action,Drama,Thriller",7.0,52270,movie
Young Frankenstein,1974,Comedy,8.0,180394,movie
Mirror,1975,"Biography,Drama",7.9,57173,movie
Fawlty Towers,1975,Comedy,8.8,110875,tvSeries
Saturday Night Live,1975,"Comedy,Music",8.0,57282,tvSeries
Barry Lyndon,1975,"Adventure,Drama,War",8.1,202725,movie
Dog Day Afternoon,1975,"Biography,Crime,Drama",8.0,290604,movie
Jaws,1975,"Adventure,Horror,Thriller",8.1,732067,movie
The Man Who Would Be King,1975,"Adventure,Drama,War",7.7,55311,movie
One Flew Over the Cuckoo's Nest,1975,Drama,8.6,1151624,movie
The Rocky Horror Picture Show,1975,"Comedy,Horror,Musical",7.4,182559,movie
"Salò, or the 120 Days of Sodom",1975,Drama,5.8,72073,movie
Sholay,1975,"Action,Adventure,Comedy",8.1,62815,movie
Three Days of the Condor,1975,"Crime,Mystery,Thriller",7.4,69703,movie
All the President's Men,1976,"Drama,History,Thriller",7.9,137139,movie
Assault on Precinct 13,1976,"Action,Crime,Thriller",7.3,60541,movie
Carrie,1976,Horror,7.4,226976,movie
The Enforcer,1976,"Action,Crime,Thriller",6.7,52791,movie
Eraserhead,1977,"Fantasy,Horror",7.2,142534,movie
The Tenant,1976,"Drama,Thriller",7.5,51065,movie
Logan's Run,1976,"Action,Adventure,Sci-Fi",6.8,65215,movie
Marathon Man,1976,"Crime,Drama,Thriller",7.4,75098,movie
The Message,1976,"Biography,Drama,History",8.1,53683,movie
Network,1976,Drama,8.1,185133,movie
The Omen,1976,"Horror,Mystery",7.5,145428,movie
The Outlaw Josey Wales,1976,"Drama,Western",7.8,86219,movie
Rocky,1976,"Drama,Sport",8.1,683918,movie
Taxi Driver,1976,"Crime,Drama",8.2,1018770,movie
Annie Hall,1977,"Comedy,Romance",7.9,290335,movie
A Bridge Too Far,1977,"Drama,History,War",7.4,67234,movie
Close Encounters of the Third Kind,1977,"Drama,Sci-Fi",7.6,231824,movie
The Rescuers,1977,"Adventure,Animation,Comedy",6.9,74811,movie
Saturday Night Fever,1977,"Drama,Music",6.8,94119,movie
Smokey and the Bandit,1977,"Action,Adventure,Comedy",7.0,62036,movie
The Spy Who Loved Me,1977,"Action,Adventure,Thriller",7.0,124223,movie
Star Wars: Episode IV - A New Hope,1977,"Action,Adventure,Fantasy",8.6,1560396,movie
Suspiria,1977,Horror,7.3,115592,movie
Dawn of the Dead,1978,"Horror,Thriller",7.8,135984,movie
Days of Heaven,1978,"Drama,Romance",7.7,68320,movie
The Deer Hunter,1978,"Drama,War",8.1,385148,movie
Grease,1978,"Comedy,Musical,Romance",7.2,324234,movie
Halloween,1978,"Horror,Thriller",7.7,337032,movie
Invasion of the Body Snatchers,1978,"Horror,Sci-Fi",7.4,80843,movie
Jaws 2,1978,"Adventure,Horror,Thriller",5.8,92045,movie
Midnight Express,1978,"Biography,Crime,Drama",7.5,93999,movie
National Lampoon's Animal House,1978,Comedy,7.4,135637,movie
Superman,1978,"Action,Adventure,Sci-Fi",7.4,206685,movie
Alien,1979,"Horror,Sci-Fi",8.5,1057043,movie
Apocalypse Now,1979,"Drama,Mystery,War",8.4,766185,movie
Being There,1979,"Comedy,Drama",7.9,82509,movie
Cannibal Holocaust,1980,"Adventure,Horror",5.8,66460,movie
Escape from Alcatraz,1979,"Biography,Crime,Drama",7.5,162453,movie
The Jerk,1979,Comedy,7.1,68229,movie
Kramer vs. Kramer,1979,Drama,7.8,165287,movie
Monty Python's Life of Brian,1979,Comedy,8.0,433867,movie
Mad Max,1979,"Action,Adventure,Sci-Fi",6.8,243697,movie
Manhattan,1979,"Comedy,Drama,Romance",7.8,153612,movie
Moonraker,1979,"Action,Adventure,Sci-Fi",6.3,116588,movie
Rocky II,1979,"Drama,Sport",7.3,248043,movie
Stalker,1979,"Drama,Sci-Fi",8.0,155877,movie
Star Trek: The Motion Picture,1979,"Adventure,Mystery,Sci-Fi",6.4,101927,movie
The Warriors,1979,"Action,Crime,Thriller",7.5,118846,movie
Airplane!,1980,Comedy,7.7,285224,movie
The Blue Lagoon,1980,"Adventure,Drama,Romance",5.8,82842,movie
The Blues Brothers,1980,"Adventure,Comedy,Crime",7.9,228266,movie
Caddyshack,1980,"Comedy,Sport",7.2,133924,movie
Dressed to Kill,1980,"Crime,Drama,Mystery",7.0,55785,movie
The Elephant Man,1980,"Biography,Drama",8.2,280935,movie
Star Wars: Episode V - The Empire Strikes Back,1980,"Action,Adventure,Fantasy",8.7,1495156,movie
Flash Gordon,1980,"Action,Adventure,Sci-Fi",6.5,65860,movie
The Fog,1980,"Horror,Thriller",6.8,91117,movie
Friday the 13th,1980,"Horror,Mystery,Thriller",6.4,174157,movie
The Gods Must Be Crazy,1980,"Adventure,Comedy",7.3,62758,movie
Ordinary People,1980,Drama,7.7,61566,movie
Raging Bull,1980,"Biography,Drama,Sport",8.1,408109,movie
Scanners,1981,"Horror,Sci-Fi,Thriller",6.7,67250,movie
The Shining,1980,"Drama,Horror",8.4,1217041,movie
Superman II,1980,"Action,Adventure,Sci-Fi",6.8,124072,movie
Time Bandits,1981,"Adventure,Comedy,Fantasy",6.9,73800,movie
Only Fools and Horses,1981,Comedy,9.0,65762,tvSeries
An American Werewolf in London,1981,"Comedy,Horror",7.5,133491,movie
Blow Out,1981,"Crime,Drama,Mystery",7.4,74878,movie
Das Boot,1981,"Drama,War",8.3,286677,movie
Chariots of Fire,1981,"Biography,Drama,Sport",7.1,70641,movie
Clash of the Titans,1981,"Action,Adventure,Fantasy",6.9,51001,movie
Conan the Barbarian,1982,"Adventure,Fantasy",6.9,172913,movie
Escape from New York,1981,"Action,Adventure,Sci-Fi",7.1,171455,movie
Excalibur,1981,"Adventure,Drama,Fantasy",7.3,72651,movie
For Your Eyes Only,1981,"Action,Adventure,Thriller",6.7,115462,movie
The Fox and the Hound,1981,"Adventure,Animation,Drama",7.2,109558,movie
Friday the 13th Part 2,1981,"Horror,Mystery,Thriller",6.1,86653,movie
Halloween II,1981,Horror,6.5,111495,movie
History of the World: Part I,1981,"Comedy,History,Musical",6.8,58819,movie
The Road Warrior,1981,"Action,Adventure,Sci-Fi",7.6,212295,movie
Possession,1981,"Drama,Horror",7.2,55822,movie
Raiders of the Lost Ark,1981,"Action,Adventure",8.4,1104987,movie
Stripes,1981,"Comedy,War",6.8,85493,movie
Cheers,1982,"Comedy,Drama",8.0,67597,tvSeries
48 Hrs.,1982,"Action,Comedy,Crime",6.9,92576,movie
Airplane II: The Sequel,1982,"Comedy,Sci-Fi",6.2,60623,movie
Annie,1982,"Comedy,Drama,Family",6.6,53238,movie
Blade Runner,1982,"Action,Drama,Sci-Fi",8.1,877187,movie
Creepshow,1982,"Comedy,Fantasy,Horror",6.8,57388,movie
The Dark Crystal,1982,"Adventure,Family,Fantasy",7.1,76659,movie
E.T. the Extra-Terrestrial,1982,"Adventure,Family,Sci-Fi",7.9,469219,movie
The Evil Dead,1981,Horror,7.3,249888,movie
Fanny and Alexander,1982,Drama,8.1,71081,movie
Fast Times at Ridgemont High,1982,"Comedy,Drama",7.1,124167,movie
First Blood,1982,"Action,Adventure,Thriller",7.7,299195,movie
Friday the 13th: Part 3,1982,"Horror,Thriller",5.6,67241,movie
Gandhi,1982,"Biography,Drama,History",8.0,246795,movie
An Officer and a Gentleman,1982,"Drama,Romance",7.1,67062,movie
Pink Floyd: The Wall,1982,"Drama,Fantasy,Music",8.0,89438,movie
Poltergeist,1982,"Horror,Thriller",7.3,193900,movie
Rocky III,1982,"Drama,Sport",6.9,226813,movie
Sophie's Choice,1982,"Drama,Romance",7.5,56609,movie
Star Trek II: The Wrath of Khan,1982,"Action,Adventure,Sci-Fi",7.7,135251,movie
The Thing,1982,"Horror,Mystery,Sci-Fi",8.2,522121,movie
Tootsie,1982,"Comedy,Drama,Romance",7.4,121545,movie
Tron,1982,"Action,Adventure,Sci-Fi",6.7,145306,movie
The Verdict,1982,Drama,7.7,50262,movie
Christine,1983,"Horror,Thriller",6.8,101929,movie
A Christmas Story,1983,"Comedy,Family",7.9,180468,movie
Cujo,1983,"Horror,Thriller",6.1,55366,movie
The Dead Zone,1983,"Drama,Fantasy,Thriller",7.2,84056,movie
Flashdance,1983,"Drama,Music,Romance",6.2,63727,movie
Halloween III: Season of the Witch,1982,"Horror,Mystery,Sci-Fi",5.2,67436,movie
Jaws 3-D,1983,"Adventure,Horror,Thriller",3.7,52511,movie
The King of Comedy,1982,"Comedy,Crime,Drama",7.8,131807,movie
Monty Python's the Meaning of Life,1983,"Comedy,Musical",7.5,129646,movie
National Lampoon's Vacation,1983,"Adventure,Comedy",7.3,127824,movie
Never Say Never Again,1983,"Action,Adventure,Thriller",6.1,77566,movie
Octopussy,1983,"Action,Adventure,Thriller",6.5,120175,movie
The Outsiders,1983,"Crime,Drama",7.0,108712,movie
Star Wars: Episode VI - Return of the Jedi,1983,"Action,Adventure,Fantasy",8.3,1202052,movie
The Right Stuff,1983,"Adventure,Biography,Drama",7.8,68799,movie
Risky Business,1983,"Comedy,Crime,Drama",6.8,107595,movie
Scarface,1983,"Crime,Drama",8.3,1007405,movie
Sudden Impact,1983,"Action,Crime,Thriller",6.6,52098,movie
Superman III,1983,"Action,Adventure,Comedy",5.0,81000,movie
Terms of Endearment,1983,"Comedy,Drama",7.4,70044,movie
Trading Places,1983,Comedy,7.5,181365,movie
Videodrome,1983,"Drama,Horror,Sci-Fi",7.2,112184,movie
WarGames,1983,"Action,Drama,Sci-Fi",7.1,120690,movie
2010: The Year We Make Contact,1984,"Adventure,Mystery,Sci-Fi",6.7,60831,movie
Amadeus,1984,"Biography,Drama,Music",8.4,465338,movie
Beverly Hills Cop,1984,"Action,Comedy,Crime",7.4,230873,movie
Blood Simple,1984,"Crime,Drama,Thriller",7.5,113182,movie
Children of the Corn,1984,"Horror,Thriller",5.6,62406,movie
Conan the Destroyer,1984,"Action,Adventure,Fantasy",5.9,90068,movie
Dune,1984,"Action,Adventure,Sci-Fi",6.2,191907,movie
Footloose,1984,"Drama,Music,Romance",6.6,101347,movie
Friday the 13th: The Final Chapter,1984,"Horror,Thriller",6.0,65922,movie
Ghostbusters,1984,"Action,Comedy,Fantasy",7.8,484560,movie
Gremlins,1984,"Comedy,Fantasy,Horror",7.3,272956,movie
Indiana Jones and the Temple of Doom,1984,"Action,Adventure",7.5,565291,movie
The Karate Kid,1984,"Action,Drama,Family",7.3,269418,movie
Nausicaä of the Valley of the Wind,1984,"Adventure,Animation,Sci-Fi",8.0,196000,movie
The Killing Fields,1984,"Biography,Drama,History",7.8,63364,movie
The Natural,1984,"Drama,Sport",7.4,57241,movie
A Nightmare on Elm Street,1984,Horror,7.4,289193,movie
1984,1984,"Drama,Sci-Fi",7.0,87559,movie
Once Upon a Time in America,1984,"Crime,Drama",8.3,406653,movie
"Paris, Texas",1984,Drama,8.1,139166,movie
Police Academy,1984,Comedy,6.7,148268,movie
Red Dawn,1984,"Action,Drama,Thriller",6.3,68298,movie
Revenge of the Nerds,1984,Comedy,6.6,61906,movie
Romancing the Stone,1984,"Action,Adventure,Comedy",6.9,111367,movie
