Title,Year,Genres,Rating,Votes,Type,Popularity,Decade
Fun with Dick and Jane,2005,"Comedy,Crime",6.2,162384,movie,74.38585891406932,2000
Jurassic World,2015,"Action,Adventure,Sci-Fi",6.9,724974,movie,93.10784839076103,2010
The Sea Inside,2004,"Biography,Drama",7.9,88661,movie,90.0013455595039,2000
Monster-in-Law,2005,"Comedy,Romance",5.6,68757,movie,62.374669439754086,2000
Ultraviolet,2006,"Action,Sci-Fi",4.4,86304,movie,50.00877739413361,2000
Alien vs. Predator,2004,"Action,Adventure,Horror",5.7,231594,movie,70.41062437037496,2000
Mysterious Skin,2004,Drama,7.6,84467,movie,86.21528315437627,2000
Spanglish,2004,"Comedy,Drama,Romance",6.4,92438,movie,73.1794779423917,2000
Stay,2005,"Drama,Mystery,Thriller",6.7,92614,movie,76.62251050064705,2000
Chicken Little,2005,"Adventure,Animation,Comedy",5.7,108455,movie,66.0863165305101,2000
The Hitchhiker's Guide to the Galaxy,2005,"Adventure,Comedy,Sci-Fi",6.7,216437,movie,82.3098670997428,2000
Iron Man,2008,"Action,Adventure,Sci-Fi",7.9,1215318,movie,110.68307899836489,2000
The Bourne Supremacy,2004,"Action,Mystery,Thriller",7.7,510913,movie,101.20845042221595,2000
The Wedding Date,2005,"Comedy,Romance",6.1,59035,movie,67.01390318078138,2000
Team America: World Police,2004,"Action,Comedy",7.2,184595,movie,87.30662050867393,2000
Batman Begins,2005,"Action,Crime,Drama",8.2,1702032,movie,117.64813379266029,2000
The Chorus,2004,"Drama,Music",7.9,71525,movie,88.30463831155465,2000
Journey to the Center of the Earth,2008,"Action,Adventure,Family",5.8,140216,movie,68.73544834456747,2000
Kung Fu Hustle,2004,"Action,Comedy,Fantasy",7.7,162850,movie,92.40450304242373,2000
Kiss Kiss Bang Bang,2005,"Comedy,Crime,Mystery",7.4,248707,movie,91.9378277405979,2000
Halloween,2007,Horror,6.1,138382,movie,72.21041686101432,2000
Harry Potter and the Order of the Phoenix,2007,"Action,Adventure,Family",7.5,694539,movie,100.88252696330575,2000
The Interpreter,2005,"Crime,Mystery,Thriller",6.4,113928,movie,74.51726047295529,2000
Open Water,2003,"Adventure,Drama,Horror",5.8,58897,movie,63.7045635204273,2000
Stargate: Atlantis,2004,"Action,Adventure,Drama",8.1,75413,tvSeries,90.96895311871357,2000
Bewitched,2005,"Comedy,Fantasy,Romance",4.9,78216,movie,55.20942459500898,2000
"Spring, Summer, Fall, Winter... and Spring",2003,"Drama,Romance",8.0,90519,movie,91.30652041923267,2000
Munna Bhai M.B.B.S.,2003,"Comedy,Drama",8.2,97366,movie,94.18710529225534,2000
Napoleon Dynamite,2004,Comedy,7.0,254506,movie,87.12955783233323,2000
Sideways,2004,"Comedy,Drama,Romance",7.5,216267,movie,92.13201775815803,2000
Tristan + Isolde,2006,"Action,Drama,Romance",6.8,56003,movie,74.34549167003452,2000
Alfie,2004,"Comedy,Drama,Romance",6.2,56473,movie,67.83741114621681,2000
White Noise,2005,"Drama,Horror,Mystery",5.5,52890,movie,59.817832602330135,2000
Crash,2004,"Crime,Drama,Thriller",7.7,461006,movie,100.41698079550423,2000
Layer Cake,2004,"Crime,Drama,Thriller",7.2,207129,movie,88.13589887917473,2000
The Rum Diary,2011,"Comedy,Drama,Romance",6.1,109986,movie,70.80946102007925,2010
Closer,2004,"Drama,Romance",7.1,250011,movie,88.24774739072251,2000
